"Name","Count"
"DEANNA","248,193"
"PATSY","248,193"
"HILDA","244,927"
"GWENDOLYN","241,661"
"JENNIE","238,396"
"NORA","238,396"
"MARGIE","235,130"
"NINA","235,130"
"CASSANDRA","235,130"
"LEAH","235,130"
"PENNY","231,864"
"KAY","231,864"
"PRISCILLA","231,864"
"NAOMI","231,864"
"CAROLE","231,864"
"BRANDY","228,599"
"OLGA","228,599"
"BILLIE","225,333"
"DIANNE","225,333"
"TRACEY","225,333"
"LEONA","225,333"
"JENNY","222,067"
"FELICIA","222,067"
"SONIA","222,067"
"MIRIAM","215,536"
"VELMA","215,536"
"BECKY","215,536"
"BOBBIE","212,270"
"VIOLET","212,270"
"KRISTINA","212,270"
"TONI","209,004"
"MISTY","205,739"
"MAE","205,739"
"SHELLY","202,473"
"DAISY","202,473"
"RAMONA","202,473"
"SHERRI","202,473"
"ERIKA","199,207"
"KATRINA","199,207"
"CLAIRE","199,207"
"LINDSEY","195,942"
"LINDSAY","195,942"
"GENEVA","192,676"
"GUADALUPE","192,676"
"BELINDA","192,676"
"MARGARITA","192,676"
"SHERYL","192,676"
"CORA","189,410"
"FAYE","189,410"
"ADA","186,145"
"NATASHA","186,145"
"SABRINA","186,145"
"ISABEL","186,145"
"MARGUERITE","182,879"
"HATTIE","182,879"
"HARRIET","182,879"
"MOLLY","179,613"
"CECILIA","179,613"
"KRISTI","179,613"
"BRANDI","179,613"
"BLANCHE","179,613"
"SANDY","179,613"
"ROSIE","179,613"
"JOANNA","179,613"
"IRIS","179,613"
"EUNICE","176,347"
"ANGIE","176,347"
"INEZ","173,082"
"LYNDA","173,082"
"MADELINE","169,816"
"AMELIA","169,816"
"ALBERTA","169,816"
"GENEVIEVE","166,550"
"MONIQUE","166,550"
"JODI","166,550"
"JANIE","166,550"
"MAGGIE","166,550"
"KAYLA","166,550"
"SONYA","166,550"
"JAN","166,550"
"LEE","166,550"
"KRISTINE","166,550"
"CANDACE","166,550"
"FANNIE","163,285"
"MARYANN","163,285"
"OPAL","163,285"
"ALISON","163,285"
"YVETTE","163,285"
"MELODY","163,285"
"LUZ","160,019"
"SUSIE","160,019"
"OLIVIA","160,019"
"FLORA","160,019"
"SHELLEY","160,019"
"KRISTY","156,753"
"MAMIE","156,753"
"LULA","156,753"
"LOLA","156,753"
"VERNA","156,753"
"BEULAH","156,753"
"ANTOINETTE","156,753"
"CANDICE","150,222"
"JUANA","150,222"
"JEANNETTE","150,222"
"PAM","150,222"
"KELLI","150,222"
"HANNAH","146,956"
"WHITNEY","146,956"
"BRIDGET","146,956"
"KARLA","143,690"
"CELIA","143,690"
"LATOYA","140,425"
"PATTY","140,425"
"SHELIA","140,425"
"GAYLE","140,425"
"DELLA","140,425"
"VICKY","140,425"
"LYNNE","140,425"
"SHERI","137,159"
"MARIANNE","137,159"
"KARA","133,893"
"JACQUELYN","133,893"
"ERMA","133,893"
"BLANCA","133,893"
"MYRA","130,628"
"LETICIA","130,628"
"PAT","130,628"
"KRISTA","130,628"
"ROXANNE","130,628"
"ANGELICA","127,362"
"JOHNNIE","127,362"
"ROBYN","127,362"
"FRANCIS","127,362"
"ADRIENNE","127,362"
"ROSALIE","127,362"
"ALEXANDRA","127,362"
"BROOKE","127,362"
"BETHANY","127,362"
"SADIE","127,362"
"BERNADETTE","127,362"
"TRACI","124,096"
"JODY","124,096"
"KENDRA","124,096"
"JASMINE","124,096"
"NICHOLE","124,096"
"RACHAEL","124,096"
"CHELSEA","124,096"
"MABLE","124,096"
"ERNESTINE","124,096"
"MURIEL","124,096"
"MARCELLA","120,831"
"ELENA","120,831"
"KRYSTAL","120,831"
"ANGELINA","120,831"
"NADINE","117,565"
"KARI","117,565"
"ESTELLE","117,565"
"DIANNA","117,565"
"PAULETTE","117,565"
"LORA","117,565"
"MONA","114,299"
"DOREEN","114,299"
"ROSEMARIE","114,299"
"ANGEL","114,299"
"DESIREE","114,299"
"ANTONIA","114,299"
"HOPE","111,034"
"GINGER","111,034"
"JANIS","111,034"
"BETSY","111,034"
"CHRISTIE","111,034"
"FREDA","111,034"
"MERCEDES","107,768"
"MEREDITH","107,768"
"LYNETTE","107,768"
"TERI","107,768"
"CRISTINA","107,768"
"EULA","107,768"
"LEIGH","104,502"
"MEGHAN","104,502"
"SOPHIA","104,502"
"ELOISE","104,502"
"ROCHELLE","104,502"
"GRETCHEN","104,502"
"CECELIA","104,502"
"RAQUEL","101,236"
"HENRIETTA","101,236"
"ALYSSA","101,236"
"JANA","101,236"
"KELLEY","101,236"
"GWEN","101,236"
"KERRY","101,236"
"JENNA","97,971"
"TRICIA","97,971"
"LAVERNE","97,971"
"OLIVE","97,971"
"ALEXIS","97,971"
"TASHA","97,971"
"SILVIA","94,705"
"ELVIRA","94,705"
"CASEY","94,705"
"DELIA","94,705"
"SOPHIE","94,705"
"KATE","94,705"
"PATTI","94,705"
"LORENA","94,705"
"KELLIE","94,705"
"SONJA","94,705"
